gender,Topic,Semester,GradeID,SectionID,raisedhands,VisITedResources,AnnouncementsView,Discussion,EngagementScore,StudentAbsenceDays,AttendanceRisk,Class,PerformanceProxy,RiskStatus
M,IT,F,G-04,A,15,16,2,20,13.2,Under-7,0,M,80,On Track
M,IT,F,G-04,A,20,20,3,25,17.0,Under-7,0,M,80,On Track
M,IT,F,G-04,A,10,7,0,30,11.8,Above-7,1,L,50,At Risk
M,IT,F,G-04,A,30,25,5,35,23.8,Above-7,1,L,50,At Risk
M,IT,F,G-04,A,40,50,12,50,38.0,Above-7,1,M,80,At Risk
F,IT,F,G-04,A,42,30,13,70,38.8,Above-7,1,M,80,At Risk
M,Math,F,G-07,A,35,12,0,17,16.0,Above-7,1,L,50,At Risk
M,Math,F,G-07,A,50,10,15,22,24.2,Under-7,0,M,80,On Track
F,Math,F,G-07,A,12,21,16,50,24.8,Under-7,0,M,80,On Track
F,IT,F,G-07,B,70,80,25,70,61.2,Under-7,0,M,80,On Track
M,Math,F,G-07,A,50,88,30,80,62.0,Under-7,0,H,95,On Track
M,Math,F,G-07,B,19,6,19,12,14.0,Under-7,0,M,80,On Track
M,IT,F,G-04,A,5,1,0,11,4.2,Above-7,1,L,50,At Risk
M,Math,F,G-08,A,20,14,12,19,16.2,Above-7,1,L,50,At Risk
F,Math,F,G-08,A,62,70,44,60,59.0,Above-7,1,H,95,On Track
F,IT,F,G-06,A,30,40,22,66,39.5,Under-7,0,M,80,On Track
M,IT,F,G-07,B,36,30,20,80,41.5,Above-7,1,M,80,At Risk
M,Math,F,G-07,A,55,13,35,90,48.2,Above-7,1,M,80,On Track
F,IT,F,G-07,A,69,15,36,96,54.0,Under-7,0,M,80,On Track
M,IT,F,G-07,B,70,50,40,99,64.8,Under-7,0,H,95,On Track
F,IT,F,G-07,A,60,60,33,90,60.8,Above-7,1,M,80,On Track
F,IT,F,G-07,B,10,12,4,80,26.5,Under-7,0,M,80,On Track
M,IT,F,G-07,A,15,21,2,90,32.0,Under-7,0,M,80,On Track
M,IT,F,G-07,A,2,0,2,50,13.5,Above-7,1,L,50,At Risk
M,IT,F,G-07,B,0,2,3,70,18.8,Above-7,1,L,50,At Risk
M,IT,F,G-07,A,8,7,30,40,21.2,Above-7,1,L,50,At Risk
M,IT,F,G-07,B,19,19,25,40,25.8,Under-7,0,M,80,On Track
M,Arabic,F,G-08,A,25,15,12,33,21.2,Above-7,1,L,50,At Risk
M,Science,F,G-08,A,75,85,52,43,63.8,Under-7,0,M,80,On Track
F,Arabic,F,G-08,A,30,90,33,35,47.0,Under-7,0,M,80,On Track
F,Arabic,F,G-08,A,35,80,50,70,58.8,Under-7,0,H,95,On Track
M,IT,F,G-07,A,4,5,40,16,16.2,Above-7,1,L,50,At Risk
F,IT,F,G-07,A,2,19,10,50,20.2,Above-7,1,L,50,At Risk
M,English,F,G-05,A,8,22,9,40,19.8,Above-7,1,L,50,At Risk
M,Science,F,G-07,B,12,11,8,40,17.8,Above-7,1,L,50,At Risk
M,English,F,G-07,A,10,12,17,30,17.2,Above-7,1,L,50,At Risk
M,Science,F,G-07,B,8,6,4,22,10.0,Above-7,1,L,50,At Risk
F,IT,F,G-07,A,45,54,26,90,53.8,Under-7,0,M,80,On Track
M,IT,F,G-06,A,0,0,0,4,1.0,Above-7,1,L,50,At Risk
F,Science,F,G-07,B,50,90,37,70,61.8,Under-7,0,M,80,On Track
F,IT,F,G-07,A,14,13,3,70,25.0,Above-7,1,L,50,At Risk
M,IT,F,G-07,A,19,20,16,50,26.2,Under-7,0,M,80,On Track
M,IT,F,G-09,A,10,12,7,33,15.5,Above-7,1,L,50,At Risk
F,IT,F,G-09,A,30,35,28,90,45.8,Under-7,0,M,80,On Track
F,IT,F,G-09,A,33,33,30,90,46.5,Under-7,0,M,80,On Track
M,Quran,F,G-07,A,20,12,15,70,29.2,Above-7,1,L,50,At Risk
M,English,F,G-05,A,7,10,1,30,12.0,Above-7,1,L,50,At Risk
F,English,F,G-12,A,70,4,39,90,50.8,Under-7,0,H,95,On Track
F,English,F,G-12,A,13,80,40,88,55.2,Under-7,0,H,95,On Track
F,English,F,G-12,A,29,39,50,77,48.8,Under-7,0,M,80,On Track
F,English,F,G-12,A,20,14,12,70,29.0,Above-7,1,L,50,At Risk
M,English,F,G-12,A,39,15,16,50,30.0,Above-7,1,L,50,At Risk
F,English,F,G-12,A,55,90,16,40,50.2,Under-7,0,M,80,On Track
F,Science,F,G-11,A,49,70,19,75,53.2,Under-7,0,H,95,On Track
M,English,F,G-12,A,12,50,8,30,25.0,Above-7,1,L,50,At Risk
M,Math,F,G-07,A,16,14,6,20,14.0,Above-7,1,L,50,At Risk
M,Math,F,G-08,B,19,5,4,1,7.2,Above-7,1,L,50,At Risk
M,Math,F,G-07,A,5,2,6,5,4.5,Above-7,1,L,50,At Risk
M,Math,F,G-07,A,28,60,19,50,39.2,Under-7,0,M,80,On Track
F,Math,F,G-07,A,27,22,22,40,27.8,Under-7,0,M,80,On Track
F,English,F,G-05,A,21,10,28,20,19.8,Above-7,1,L,50,At Risk
M,IT,F,G-10,A,50,70,32,40,48.0,Under-7,0,M,80,On Track
M,IT,F,G-10,A,80,90,70,80,80.0,Under-7,0,H,95,On Track
M,IT,F,G-10,A,17,13,16,12,14.5,Under-7,0,M,80,On Track
M,IT,F,G-10,A,0,5,7,2,3.5,Above-7,1,L,50,At Risk
M,English,F,G-12,A,13,5,18,19,13.8,Above-7,1,L,50,At Risk
F,English,F,G-12,A,25,10,19,30,21.0,Above-7,1,M,80,At Risk
F,English,F,G-12,A,65,75,23,80,60.8,Under-7,0,H,95,On Track
F,IT,F,G-12,A,70,69,35,30,51.0,Under-7,0,H,95,On Track
M,IT,F,G-07,A,39,40,11,33,30.8,Under-7,0,M,80,On Track
M,IT,F,G-07,A,22,30,10,12,18.5,Above-7,1,L,50,At Risk
M,IT,F,G-07,A,29,22,9,20,20.0,Under-7,0,M,80,On Track
M,Math,F,G-07,A,11,2,2,8,5.8,Under-7,0,L,50,On Track
F,English,F,G-07,A,19,30,26,19,23.5,Above-7,1,M,80,At Risk
M,IT,F,G-07,B,12,0,6,13,7.8,Under-7,0,L,50,On Track
M,Quran,F,G-07,A,50,90,29,60,57.2,Under-7,0,M,80,On Track
M,IT,F,G-09,A,15,70,37,44,41.5,Under-7,0,M,80,On Track
M,IT,F,G-09,A,20,80,33,33,41.5,Under-7,0,M,80,On Track
M,Quran,F,G-11,A,13,3,11,9,9.0,Above-7,1,L,50,At Risk
F,Math,F,G-07,B,80,90,49,55,68.5,Under-7,0,H,95,On Track
M,Math,F,G-07,A,8,15,10,40,18.2,Under-7,0,L,50,On Track
M,IT,F,G-02,A,8,25,1,70,26.0,Above-7,1,L,50,At Risk
M,IT,F,G-02,B,7,5,2,80,23.5,Above-7,1,L,50,At Risk
M,IT,F,G-02,B,7,4,10,50,17.8,Above-7,1,M,80,At Risk
M,IT,F,G-02,B,50,70,50,10,45.0,Above-7,1,H,95,On Track
M,IT,F,G-02,B,1,0,1,12,3.5,Above-7,1,L,50,At Risk
M,IT,F,G-02,B,70,12,40,50,43.0,Under-7,0,H,95,On Track
M,IT,F,G-02,B,19,70,3,50,35.5,Under-7,0,L,50,On Track
F,IT,F,G-02,B,3,12,4,33,13.0,Under-7,0,L,50,On Track
M,IT,F,G-02,B,5,20,1,50,19.0,Above-7,1,L,50,At Risk
M,IT,F,G-02,B,4,8,10,60,20.5,Above-7,1,L,50,At Risk
M,IT,F,G-02,B,80,90,55,19,61.0,Under-7,0,H,95,On Track
F,IT,F,G-02,B,50,70,19,15,38.5,Under-7,0,H,95,On Track
M,IT,F,G-02,B,55,89,40,40,56.0,Under-7,0,H,95,On Track
F,IT,F,G-02,B,80,44,35,10,42.2,Above-7,1,L,50,At Risk
F,IT,F,G-02,B,100,80,2,70,63.0,Under-7,0,H,95,On Track
F,IT,F,G-02,C,14,60,11,75,40.0,Under-7,0,H,95,On Track
F,IT,F,G-02,B,6,2,38,12,14.5,Under-7,0,M,80,On Track
F,IT,F,G-02,C,10,3,0,30,10.8,Under-7,0,M,80,On Track
M,IT,F,G-02,B,50,7,9,50,29.0,Above-7,1,M,80,At Risk
M,IT,F,G-02,B,50,90,40,90,67.5,Under-7,0,M,80,On Track
F,IT,F,G-02,B,70,92,50,7,54.8,Under-7,0,H,95,On Track
F,IT,F,G-02,B,2,6,2,8,4.5,Above-7,1,L,50,At Risk
M,IT,F,G-02,B,1,7,6,10,6.0,Above-7,1,L,50,At Risk
M,IT,F,G-02,B,0,12,3,3,4.5,Above-7,1,M,80,At Risk
F,IT,F,G-02,B,0,0,5,80,21.2,Above-7,1,L,50,At Risk
F,IT,F,G-02,B,12,26,7,40,21.2,Under-7,0,M,80,On Track
M,IT,F,G-02,B,70,90,41,33,58.5,Under-7,0,H,95,On Track
M,IT,F,G-02,B,7,12,5,3,6.8,Above-7,1,M,80,At Risk
M,IT,F,G-02,B,90,70,30,14,51.0,Under-7,0,M,80,On Track
F,IT,F,G-02,B,70,88,55,40,63.2,Under-7,0,H,95,On Track
M,IT,F,G-02,C,77,80,51,80,72.0,Under-7,0,M,80,On Track
M,IT,F,G-02,B,2,5,3,50,15.0,Above-7,1,L,50,At Risk
M,IT,F,G-02,B,25,27,0,69,30.2,Above-7,1,L,50,At Risk
M,IT,F,G-02,B,11,2,0,50,15.8,Above-7,1,L,50,At Risk
M,IT,F,G-02,B,0,8,11,70,22.2,Above-7,1,L,50,At Risk
F,IT,F,G-02,C,77,80,12,19,47.0,Above-7,1,M,80,On Track
F,IT,F,G-02,C,25,29,40,17,27.8,Under-7,0,H,95,On Track
F,IT,F,G-02,C,24,35,23,22,26.0,Above-7,1,M,80,At Risk
M,IT,F,G-02,C,60,60,3,60,45.8,Under-7,0,M,80,On Track
M,IT,F,G-02,C,21,12,0,50,20.8,Under-7,0,M,80,On Track
M,IT,F,G-02,C,0,4,8,30,10.5,Above-7,1,L,50,At Risk
F,IT,F,G-02,B,66,90,55,12,55.8,Above-7,1,M,80,On Track
F,IT,F,G-02,B,70,98,7,5,45.0,Under-7,0,M,80,On Track
M,IT,F,G-02,C,0,6,4,15,6.2,Under-7,0,L,50,On Track
M,IT,F,G-02,B,12,30,0,17,14.8,Above-7,1,L,50,At Risk
F,IT,F,G-02,C,2,9,7,55,18.2,Under-7,0,M,80,On Track
M,IT,F,G-02,B,55,33,6,9,25.8,Above-7,1,L,50,At Risk
M,IT,F,G-02,C,12,10,20,16,14.5,Under-7,0,L,50,On Track
M,IT,F,G-02,B,70,90,2,2,41.0,Under-7,0,L,50,On Track
F,IT,F,G-02,C,7,9,5,30,12.8,Above-7,1,L,50,At Risk
M,IT,F,G-02,C,80,42,20,50,48.0,Under-7,0,M,80,On Track
M,IT,S,G-02,C,0,3,10,3,4.0,Above-7,1,L,50,At Risk
M,IT,S,G-02,A,12,60,0,70,35.5,Above-7,1,L,50,At Risk
M,Quran,S,G-07,A,80,80,15,70,61.2,Under-7,0,H,95,On Track
F,Quran,S,G-07,A,70,80,95,70,78.8,Under-7,0,H,95,On Track
F,Quran,S,G-11,A,70,80,95,70,78.8,Under-7,0,H,95,On Track
F,Quran,F,G-11,A,60,80,50,40,57.5,Under-7,0,M,80,On Track
F,Quran,F,G-07,A,100,80,95,90,91.2,Under-7,0,H,95,On Track
M,Quran,F,G-07,A,100,85,85,70,85.0,Under-7,0,M,80,On Track
M,Quran,F,G-07,A,10,60,5,20,23.8,Above-7,1,L,50,At Risk
M,Quran,S,G-07,A,19,65,50,10,36.0,Above-7,1,L,50,At Risk
M,Quran,S,G-07,A,10,75,55,11,37.8,Under-7,0,M,80,On Track
M,Quran,S,G-07,A,80,90,55,19,61.0,Under-7,0,H,95,On Track
M,Quran,S,G-07,A,10,10,15,19,13.5,Above-7,1,L,50,At Risk
M,Quran,S,G-07,A,70,75,55,11,52.8,Under-7,0,M,80,On Track
F,Quran,S,G-07,A,100,75,50,70,73.8,Under-7,0,H,95,On Track
F,Quran,S,G-07,A,10,79,30,30,37.2,Under-7,0,M,80,On Track
F,Quran,S,G-07,A,60,55,30,40,46.2,Under-7,0,M,80,On Track
F,Quran,S,G-07,A,100,75,50,70,73.8,Under-7,0,H,95,On Track
M,Quran,S,G-11,A,80,80,51,59,67.5,Under-7,0,H,95,On Track
M,Science,S,G-11,A,23,63,71,89,61.5,Under-7,0,M,80,On Track
F,Science,S,G-11,B,100,91,98,40,82.2,Under-7,0,H,95,On Track
